,Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
0,01-11-2022,26.6,32.0,29.3,72,,6.0,5,320,2,C 
1,02-11-2022,25.4,32.4,29.2,76,,4.0,7,316,1,C 
2,03-11-2022,26.8,32.2,29.1,75,0.0,5.6,5,320,1,C 
3,04-11-2022,26.2,33.2,28.9,75,0.0,3.0,5,317,1,C 
4,05-11-2022,25.4,32.6,28.0,78,27.6,2.4,7,320,1,C 
5,06-11-2022,24.2,30.8,27.9,79,,5.0,5,320,1,C 
6,07-11-2022,25.6,30.4,27.5,83,2.2,0.0,3,320,0,C 
7,08-11-2022,25.6,30.2,27.5,80,0.4,2.0,4,317,1,C 
8,09-11-2022,24.8,31.6,28.0,78,7.7,0.6,5,320,1,C 
9,10-11-2022,25.0,31.2,27.6,82,8888.0,0.0,5,316,1,C 
10,11-11-2022,26.0,,28.0,76,13.5,0.0,9,320,2,C 
11,12-11-2022,25.6,32.4,27.6,81,0.6,1.4,5,310,1,C 
12,13-11-2022,25.0,30.6,27.2,83,8888.0,5.2,5,310,1,C 
13,14-11-2022,24.2,32.8,28.3,78,,0.0,7,317,1,C 
14,15-11-2022,24.8,32.4,29.0,73,0.5,2.9,5,320,1,C 
15,16-11-2022,27.0,,28.7,76,0.0,3.0,7,317,2,NW
16,17-11-2022,24.8,28.0,26.1,89,42.4,4.2,6,320,1,C 
17,18-11-2022,25.0,32.4,28.3,76,10.5,0.0,5,315,2,NW
18,19-11-2022,25.8,33.2,28.9,74,8888.0,2.4,4,280,2,W 
19,20-11-2022,26.6,33.6,29.5,70,0.0,5.8,4,300,2,NW
20,21-11-2022,26.2,34.6,29.7,66,,5.0,6,320,2,C 
21,22-11-2022,24.0,34.2,29.4,70,,4.7,10,316,2,NW
22,23-11-2022,25.0,33.4,28.8,71,,7.7,9,320,2,C 
23,24-11-2022,26.2,31.0,28.6,76,2.7,5.5,4,316,1,C 
24,25-11-2022,25.4,31.4,27.8,76,,1.6,3,314,0,C 
25,26-11-2022,25.0,31.4,27.2,82,,0.9,5,320,1,C 
26,27-11-2022,24.4,31.2,27.7,80,17.2,0.0,4,320,1,C 
27,28-11-2022,25.4,31.4,28.6,79,2.0,7.4,7,317,1,C 
28,29-11-2022,24.6,33.0,28.6,78,16.8,3.2,8,320,2,C 
29,30-11-2022,25.0,33.0,28.2,78,,8.5,3,315,0,C 
